ID,Name,City,Country,Award,Source List,Cuisine,Years Featured,Score
1,DON JULIO PARRILLA,BUENOS AIRES,Argentina,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
2,MARGARET,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
3,LAIA ERRETEGIA,HONDARRIBIA,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
4,I DUE CIPPI,SATURNIA,Italy,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
5,BURNT ENDS,SINGAPORE,Singapore,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
6,BODEGA EL CAPRICHO,JIMÉNEZ DE JAMUZ,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
7,CASA JULIAN DE TOLOSA,TOLOSA,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
8,LANA,MADRID,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
9,AG,STOCKHOLM,Sweden,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
10,COTE,NEW YORK,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
11,IBAI,LONDON,UK,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
12,ROCKPOOL BAR & GRILL,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
13,ASADOR BASTIAN,CHICAGO,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
14,THE GRILL AT THE INTERNATIONAL,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
15,BORN & BRED,SEOUL,South Korea,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
16,FIREDOOR,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
17,LA TÊTE D’OR,NEW YORK,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
18,VICTOR CHURCHILL,MELBOURNE,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
19,CARCASSE,KOKSIJDE,Belgium,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
20,PORTEÑO,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
21,CAPA,COPENHAGEN,Denmark,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
22,GILLIS,GENT,Belgium,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
23,HAWKSMOOR,LONDON,UK,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
24,BRAT,LONDON,UK,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
25,LA BRASERIA,OSIO SOTTO,Italy,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
26,ELISA,VANCOUVER,Canada,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
27,NIKUYA TANAKA,TOKYO,Japan,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
28,LOS 33,MADRID,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
29,REGINA BISTECCA,FLORENCE,Italy,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
30,TRIBUTO,QUITO,Ecuador,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
31,AMAREN,BILBAO,Spain,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
32,THE GIDLEY,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
33,BEEFBAR,MONACO,Monaco,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
34,ANAHI,PARIS,France,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
35,FOGÓN,BUENOS AIRES,Argentina,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
36,AALIA,SYDNEY,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
37,STEER DINING ROOM,MELBOURNE,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
38,11WOODFIRE,DUBAI,UAE,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
39,LUTYENS GRILL,LONDON,UK,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
40,MIYOSHI,KYOTO,Japan,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
41,ARAGAWA,LONDON,UK,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
42,CLOVER GRILL,PARIS,France,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
43,GWEN,LOS ANGELES,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
44,4 CHARLES PRIME RIB,NEW YORK,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
45,GIMLET,MELBOURNE,Australia,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
46,KITAN-IN,OSAKA,Japan,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
47,KNIFE,DALLAS,USA,,Worlds 101 Best Steakhouses 2025 Fixed,Steakhouse,,
