Rank,Restaurant,Location,Source
1,I Masanielli,"Caserta, Italy",The Best 100 Pizza Selection 2025
2,Pepe in Grani,"Caiazzo, Italy",The Best 100 Pizza Selection 2025
3,Pizzarium,"Rome, Italy",The Best 100 Pizza Selection 2025
4,Bob Alchimia a Spicchi,"Montepaone, Italy",The Best 100 Pizza Selection 2025
5,I Tigli,"San Bonifacio, Italy",The Best 100 Pizza Selection 2025
6,The Pizza Bar on 38th,"Tokyo, Japan",The Best 100 Pizza Selection 2025
7,180 grammi,"Rome, Italy",The Best 100 Pizza Selection 2025
8,Sartoria Panatieri,"Barcelona, Spain",The Best 100 Pizza Selection 2025
9,Mater,"Fiano Romano, Italy",The Best 100 Pizza Selection 2025
10,Pizza Studio Tamaki,"Tokyo, Japan",The Best 100 Pizza Selection 2025
11,Clementina,"Rome, Italy",The Best 100 Pizza Selection 2025
12,La Contrada,"Aversa, Italy",The Best 100 Pizza Selection 2025
13,Confine,"Milan, Italy",The Best 100 Pizza Selection 2025
14,Pizza Marumo,"Tokyo, Japan",The Best 100 Pizza Selection 2025
15,Cambia-Menti,"Caserta, Italy",The Best 100 Pizza Selection 2025
16,TAC | Seu Pizza illuminati,"Rome, Italy",The Best 100 Pizza Selection 2025
17,Una Pizza Napoletana,"New York, USA",The Best 100 Pizza Selection 2025
18,Raf Bonetta Pizzeria,"Naples, Italy",The Best 100 Pizza Selection 2025
19,I Masanielli,"Caserta, Italy",The Best 100 Pizza Selection 2025
20,La Notizia,"Naples, Italy",The Best 100 Pizza Selection 2025
21,Renato Bosco Pizzeria,"San Martino Buon Albergo, Italy",The Best 100 Pizza Selection 2025
22,Razza Pizza Artigianale,"New Jersey, USA",The Best 100 Pizza Selection 2025
23,Diego Vitagliano Pizzeria,"Naples, Italy",The Best 100 Pizza Selection 2025
24,Sestogusto,"Turin, Italy",The Best 100 Pizza Selection 2025
25,Lucali,"New York, USA",The Best 100 Pizza Selection 2025
26,Crosta Pizzeria | Bianca Omakase,"Makati, Philippines",The Best 100 Pizza Selection 2025
27,Stretch Pizza,"New York, USA",The Best 100 Pizza Selection 2025
28,nNea Pizza,"Amsterdam, Netherlands",The Best 100 Pizza Selection 2025
29,Da Lioniello,"Succivo, Italy",The Best 100 Pizza Selection 2025
30,Crisp Pizza W6,"London, UK",The Best 100 Pizza Selection 2025
31,Le Grotticelle,"Caggiano, Italy",The Best 100 Pizza Selection 2025
32,Giolina,"Milan, Italy",The Best 100 Pizza Selection 2025
33,Napoli on the Road,"London, UK",The Best 100 Pizza Selection 2025
34,L’Industrie,"New York, USA",The Best 100 Pizza Selection 2025
35,La Natural,"Miami, USA",The Best 100 Pizza Selection 2025
36,Demaio Pizza Gourmet,"Bilbao, Spain",The Best 100 Pizza Selection 2025
37,Alterego Pizza Boutique,"Andria, Italy",The Best 100 Pizza Selection 2025
38,50 Kalò,"Naples, Italy",The Best 100 Pizza Selection 2025
39,Pizza Félix,"Mexico City, Mexico",The Best 100 Pizza Selection 2025
40,Bro. Ciro e Antonio Tutino,"Naples, Italy",The Best 100 Pizza Selection 2025
41,Oobatz,"Paris, France",The Best 100 Pizza Selection 2025
42,Truly Pizza,"Dana Point, USA",The Best 100 Pizza Selection 2025
43,MangiaPizza,"Amsterdam, Netherlands",The Best 100 Pizza Selection 2025
44,Pizzeria Sei,"Los Angeles, USA",The Best 100 Pizza Selection 2025
45,Pizzeria della Madonna,"Mexico City, Mexico",The Best 100 Pizza Selection 2025
46,QT Pizza Bar,"Sao Paulo, Brazil",The Best 100 Pizza Selection 2025
47,Fiata by Salvatore Fiata,"Hong Kong, China",The Best 100 Pizza Selection 2025
48,A Rota Pizzeria Romanesca,"Rome, Italy",The Best 100 Pizza Selection 2025
49,Bacar,"Okinawa, Japan",The Best 100 Pizza Selection 2025
50,Pizzeria Contemporanea,"Aversa, Italy",The Best 100 Pizza Selection 2025
51,Pizzeria Badiali,"Toronto, Canada",The Best 100 Pizza Selection 2025
52,Don Antonio,"New York, USA",The Best 100 Pizza Selection 2025
53,Inedito/Cascina dei Sapori,"Brescia, Italy",The Best 100 Pizza Selection 2025
54,Posto,"Boston, USA",The Best 100 Pizza Selection 2025
55,Isabella De Cham Pizza Fritta,"Naples, Italy",The Best 100 Pizza Selection 2025
56,A Pizza da Mooca,"Sao Paulo, Brazil",The Best 100 Pizza Selection 2025
57,SURT,"Copenhagen, Denmark",The Best 100 Pizza Selection 2025
58,Apollonia s Pizzeria,"Los Angeles, USA",The Best 100 Pizza Selection 2025
59,Gasparic,"Can Blanc, Spain",The Best 100 Pizza Selection 2025
60,I Vesuviani,"Casello di Cisterna, Italy",The Best 100 Pizza Selection 2025
61,Napul'è,"Vari, Greece",The Best 100 Pizza Selection 2025
62,Pizzeria Senese Napoletana in Evoluzione,"San Remo, Italy",The Best 100 Pizza Selection 2025
63,Leggera Pizza Napoletana,"Sao Paulo, Brazil",The Best 100 Pizza Selection 2025
64,Campana Pizza in Teglia/Campana 12,"Corigliano, Italy",The Best 100 Pizza Selection 2025
65,Velo Pizzaioli Popolari/Luca! Di Luca Mastracci,"Frosinone, Italy",The Best 100 Pizza Selection 2025
66,Soffio Pizzeria,"São Paulo, Brazil",The Best 100 Pizza Selection 2025
67,Antonino's Pizza Napoletana,"Caracas, Venezuela",The Best 100 Pizza Selection 2025
68,Winther Aker Brygge,"Oslo, Norway",The Best 100 Pizza Selection 2025
69,Pecoranegra,"Lyon | Menton, France",The Best 100 Pizza Selection 2025
70,L’Aperó,"Guatemala City, Guatemala",The Best 100 Pizza Selection 2025
71,Da Susy,"Gurugram, India",The Best 100 Pizza Selection 2025
72,Sìsì Pizzaria,"Rio de Janeiro, Brazil",The Best 100 Pizza Selection 2025
73,Peppina,"Bangkok, Thailand",The Best 100 Pizza Selection 2025
74,Pizza Verace,"Panama City, Panama",The Best 100 Pizza Selection 2025
75,Indio,"Lima, Peru",The Best 100 Pizza Selection 2025
76,Andrea Style,"Taipei City, Taiwan",The Best 100 Pizza Selection 2025
77,Leña Pizza+Bagels,"Cleveland, USA",The Best 100 Pizza Selection 2025
78,Pizza Strada,"Tokyo, Japan",The Best 100 Pizza Selection 2025
79,Masillia,"Bangkok, Thailand",The Best 100 Pizza Selection 2025
80,Fortezza,"Bogotà, Colombia",The Best 100 Pizza Selection 2025
81,Pizzeria Tramontana,"Novi Sad, Serbia",The Best 100 Pizza Selection 2025
82,A Mano,"Makati, Philippines",The Best 100 Pizza Selection 2025
83,La Bottega Enoteca,Singapore,The Best 100 Pizza Selection 2025
84,Bottega,"Shanghai, China",The Best 100 Pizza Selection 2025
85,Motorino | Falcone,"Hong Kong, China",The Best 100 Pizza Selection 2025
86,Luppolo & Farina,"Latiano, Italy",The Best 100 Pizza Selection 2025
87,Ferro e Farinha,"Rio de Janeiro, Brazil",The Best 100 Pizza Selection 2025
88,L’Ammaccata Antica Pizza Cilentana,"Casal Velino, Italy",The Best 100 Pizza Selection 2025
89,Anto Pizzeria,Singapore,The Best 100 Pizza Selection 2025
90,Ruver Teglia frazionata,"Rome, Italy",The Best 100 Pizza Selection 2025
91,Pizzeria Sitari,"Agrigento, Italy",The Best 100 Pizza Selection 2025
92,U Taliana Sapori Italiani,"Bratislava, Slovakia",The Best 100 Pizza Selection 2025
93,Lou Pécou Artisanal Pizzeria,"Halifax, Canada",The Best 100 Pizza Selection 2025
94,Sebas Restaurant,"Uvita, Costa Rica",The Best 100 Pizza Selection 2025
95,Mama’s TOO!,"New York, USA",The Best 100 Pizza Selection 2025
96,Pizzeria Da Laura,"Berkeley, USA",The Best 100 Pizza Selection 2025
97,Olio,"Gliwice, Poland",The Best 100 Pizza Selection 2025
98,Salumeria Garden,"San Julian, Malta",The Best 100 Pizza Selection 2025
99,LEO’S,"Delhi, India",The Best 100 Pizza Selection 2025
100,La Clásica,"Santa Tecla, El Salvador",The Best 100 Pizza Selection 2025
