ID,Name,City,Country,Award,Source List,Cuisine\
1,Cafe Paci,Sydney,Australia,State winner,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
2,Aalia,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
3,Ante,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
4,Bar Heather,Byron Bay,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
5,Bathers\'92 Pavilion,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
6,Bistro Livi,Murwillumbah,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
7,Ester,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
8,EXP.,Hunter Valley,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
9,Ho Jiak Town Hall,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
10,Kiln,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
11,King Clarence,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
12,Margaret,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
13,Megalong,Blue Mountains,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
14,Ormeggio at the Spit,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
15,Pipit,Pottsville,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
16,Porcine,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
17,Porkfat,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
18,Quay,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
19,Saint Peter,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
20,Sixpenny,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
21,The Zin House,Mudgee,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
22,Ursula\'92s,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
23,White Horse,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
24,Yoshii\'92s Omakase,Sydney,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
25,Vue de Monde,Melbourne,Australia,State winner,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
26,Attica,Ripponlea,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
27,Bistra,Melbourne,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
28,Brae,Birregurra,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
29,Chauncy,Heathcote,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
30,Di Stasio Carlton,Melbourne,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
31,Embla,Melbourne,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
32,Flower Drum,Melbourne,Australia,N/A,Gourmet Traveller Restaurant Awards Top 100 Australian,N/A\
