ID,Name,City,Country,Award,Source List,Cuisine\
1,Endo at the Rotunda,London,United Kingdom,N/A,Hardens Top 100,\
2,Pine,East Wallhouses,United Kingdom,N/A,Hardens Top 100,\
3,Hjem,Hexham,United Kingdom,N/A,Hardens Top 100,\
4,Woven by Adam Smith,Ascot,United Kingdom,N/A,Hardens Top 100,\
5,Taku,London,United Kingdom,N/A,Hardens Top 100,\
6,Opheem,Birmingham,United Kingdom,N/A,Hardens Top 100,\
7,Le Manoir aux Quat'Saisons,Oxford,United Kingdom,N/A,Hardens Top 100,\
8,The Ledbury,London,United Kingdom,N/A,Hardens Top 100,\
9,Lumiere,Cheltenham,United Kingdom,N/A,Hardens Top 100,\
10,John's House,Mountsorrel,United Kingdom,N/A,Hardens Top 100,\
11,The Waterside Inn,Bray,United Kingdom,N/A,Hardens Top 100,\
12,Outlaw's New Road,Port Isaac,United Kingdom,N/A,Hardens Top 100,\
13,Solstice by Kenny Atkinson,Newcastle upon Tyne,United Kingdom,N/A,Hardens Top 100,\
14,Aulis London,London,United Kingdom,N/A,Hardens Top 100,\
15,Restaurant Andrew Fairlie at Gleneagles,Auchterarder,United Kingdom,N/A,Hardens Top 100,\
16,The White Swan,Burnley,United Kingdom,N/A,Hardens Top 100,\
17,Core by Clare Smyth,London,United Kingdom,N/A,Hardens Top 100,\
18,The Five Fields,London,United Kingdom,N/A,Hardens Top 100,\
19,Da Terra at the Town Hall Hotel,London,United Kingdom,N/A,Hardens Top 100,\
20,Osip,Bruton,United Kingdom,N/A,Hardens Top 100,\
21,Akoko,London,United Kingdom,N/A,Hardens Top 100,\
22,Paul Ainsworth at No. 6,Padstow,United Kingdom,N/A,Hardens Top 100,\
23,Lympstone Manor,Exmouth,United Kingdom,N/A,Hardens Top 100,\
24,Behind,London,United Kingdom,N/A,Hardens Top 100,\
25,A. Wong,London,United Kingdom,N/A,Hardens Top 100,\
26,The Angel at Hetton,Skipton,United Kingdom,N/A,Hardens Top 100,\
27,Roketsu,London,United Kingdom,N/A,Hardens Top 100,\
28,Alchemilla,Nottingham,United Kingdom,N/A,Hardens Top 100,\
29,Mana,Manchester,United Kingdom,N/A,Hardens Top 100,\
30,Grace and Savour at Hampton Manor,Solihull,United Kingdom,N/A,Hardens Top 100,\
31,Loch Bay,Isle of Skye,United Kingdom,N/A,Hardens Top 100,\
32,Sushi Tetsu,London,United Kingdom,N/A,Hardens Top 100,\
33,Northcote,Blackburn,United Kingdom,N/A,Hardens Top 100,\
34,La Dame de Pic London,London,United Kingdom,N/A,Hardens Top 100,\
