{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 ID,Name,City,Country,Cuisine,Award,Source List,Source List Years\
1,Anajak Thai,Sherman Oaks,United States,Thai,"JB, F&W",Los Angeles Times,"2020, 2021, 2022, 2023, 2024"\
2,Bavel,Downtown L.A.,United States,Middle Eastern,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022, 2024"\
3,Kato,Downtown L.A.,United States,"Taiwanese, Californian",Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
4,R\'e9publique,Hancock Park,United States,American,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
5,n/naka,Palms,United States,Japanese,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
6,Providence,Hollywood,United States,Seafood,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
7,Sonoratown,Downtown L.A.,United States,Mexican,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022, 2024"\
8,Holbox,Historic South-Central,United States,Mexican,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2023, 2024"\
9,Mariscos Jalisco,Boyle Heights,United States,Mexican,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022, 2023"\
10,Sichuan Impression,Alhambra,United States,Chinese,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022, 2023"\
11,Soban,Koreatown,United States,Korean,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022, 2023"\
12,A.O.C.,West Hollywood,United States,Californian,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
13,Bestia,Downtown L.A.,United States,Italian,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022"\
14,Cassia,Santa Monica,United States,"Vietnamese, French",Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
15,Crossroads Kitchen,Beverly Grove,United States,Vegan,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
16,Dulan\'92s Soul Food Kitchen,Inglewood,United States,American,Los Angeles Times,Los Angeles Times,"2020, 2021, 2022, 2023, 2024"\
17,Holy Basil,Downtown L.A.,United States,Thai,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
18,Kismet,East Hollywood,United States,"Californian, Mediterranean",Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
19,Lalibela,Little Ethiopia,United States,Ethiopian,Los Angeles Times,Los Angeles Times,"2020, 2021, 2022, 2023, 2024"\
20,Majordomo,Chinatown,United States,"Korean, New American",Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2024"\
21,Mini Kabob,Glendale,United States,Armenian,Los Angeles Times,Los Angeles Times,"2020, 2021, 2022, 2023, 2024"\
22,Moo\'92s Craft Barbecue,Lincoln Heights,United States,Barbecue,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
23,Osteria Mozza,Hancock Park,United States,Italian,Los Angeles Times,Los Angeles Times,"2019, 2021, 2022, 2024"\
24,Pasjoli,Santa Monica,United States,French,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
25,Petit Trois,Hollywood,United States,French,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2024"\
26,Pijja Palace,Silver Lake,United States,Indian,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
27,Post & Beam,Baldwin Hills/Crenshaw,United States,"Californian, Southern",Los Angeles Times,Los Angeles Times,"2020, 2021, 2022, 2024"\
28,Saffy's,East Hollywood,United States,Middle Eastern,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
29,Sushi Kaneyoshi,Downtown L.A.,United States,Japanese,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
30,Tsubaki,Echo Park,United States,Japanese Restaurant,Los Angeles Times,Los Angeles Times,"2019, 2021, 2022, 2024"\
31,Yang\'92s Kitchen,Alhambra,United States,Taiwanese,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
32,Bar Am\'e1,Downtown L.A.,United States,Tex-Mex,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
33,Birdie G\'92s,Santa Monica,United States,American,Los Angeles Times,Los Angeles Times,"2019, 2020, 2022, 2024"\
34,Damian,Downtown L.A.,United States,Mexican,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
35,Dunsmoor,Glassell Park,United States,American,Los Angeles Times,Los Angeles Times,"2023, 2024"\
36,Felix,Venice,United States,Italian,Los Angeles Times,Los Angeles Times,"2019, 2021, 2022, 2023"\
37,Here's Looking at You,Koreatown,United States,American,Los Angeles Times,Los Angeles Times,"2019, 2022, 2024"\
38,Hippo,Highland Park,United States,Italian,Los Angeles Times,Los Angeles Times,"2018, 2019, 2020, 2021, 2022"\
39,Kuya Lord,Hollywood,United States,Filipino,"James Beard Foundation award",Los Angeles Times,"2022, 2023, 2024"\
40,Langer\'92s,Westlake,United States,American,Los Angeles Times,Los Angeles Times,"2018, 2019, 2021"\
41,Lasita,Chinatown,United States,Filipino,Los Angeles Times,Los Angeles Times,"2021, 2024"\
42,Morihiro,Atwater Village,United States,Japanese,Los Angeles Times,Los Angeles Times,"2021, 2022, 2023, 2024"\
43,My 2 Cents,Mid-Wilshire,United States,"Soul Food, Californian",Los Angeles Times,Los Angeles Times,"2023, 2024"\
44,Northern Thai Food Club,East Hollywood,United States,Thai,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022"\
45,Orsa & Winston,Downtown L.A.,United States,"Italian, Japanese",Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2023, 2024"\
46,Pizzeria Bianco,Downtown L.A.,United States,Pizza,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
47,Pizzeria Sei,Pico-Robertson,United States,Pizza,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
48,Quarter Sheets,Echo Park,United States,"Pizza, Bakery",Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
49,Rossoblu,Downtown L.A.,United States,Italian,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2023"\
50,Rustic Canyon,Santa Monica,United States,American,Los Angeles Times,Los Angeles Times,"2019, 2024"\
51,Tacos La Carreta,Long Beach,United States,Mexican,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
52,Taste of Tehran,West Los Angeles,United States,Persian,Los Angeles Times,Los Angeles Times,"2019, 2020, 2021, 2022, 2023"\
53,Tokyo Fried Chicken,Downtown L.A.,United States,Fried Chicken,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
54,Villa's Tacos,Highland Park,United States,Mexican,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
55,Yangban,Downtown L.A.,United States,"Korean, American, Jewish",Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
56,Al Baraka Restaurant,Anaheim,United States,Palestinian,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
57,All Day Baby,Silver Lake,United States,American,Los Angeles Times,Los Angeles Times,"2020, 2021, 2022, 2023"\
58,Ammatol\'ed,Long Beach,United States,Middle Eastern,Los Angeles Times,Los Angeles Times,"2022, 2023, 2024"\
59,Antico Nuovo,Larchmont,United States,Italian,Los Angeles Times,Los Angeles Times,"2020, 2021, 2024"\
60,Bar Chelou,Pasadena,United States,French,Los Angeles Times,Los Angeles Times,"2023, 2024"\
61,Baroo,Downtown L.A.,United States,Korean,Los Angeles Times,Los Angeles Times,"2023, 2024"\
62,Barsha,Hermosa Beach,United States,"Tunisian, Mediterranean",Los Angeles Times,Los Angeles Times,"2023, 2024"\
63,Bicyclette,Pico-Robertson,United States,French,Los Angeles Times,Los Angeles Times,"2022, 2023"\
64,Bhookhe,Artesia,United States,Indian,Los Angeles Times,Los Angeles Times,"2023, 2024"\
65,Bridgetown Roti,East Hollywood,United States,Caribbean,Los Angeles Times,Los Angeles Times,"2022, 2024"\
66,Burritos La Palma,El Monte,United States,Mexican,Los Angeles Times,Los Angeles Times,"2019, 2020"\
67,Camphor,Downtown L.A.,United States,French,Los Angeles Times,Los Angeles Times,"2023, 2024"\
68,Chaak Kitchen,Tustin,United States,Mexican,Los Angeles Times,Los Angeles Times,"2019, 2020"\
