{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;\f1\fswiss\fcharset0 Helvetica-Bold;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sa240\partightenfactor0

\f0\fs24 \cf0 \expnd0\expndtw0\kerning0
\outl0\strokewidth0 \strokec2 No problem! I've updated the "Les Grandes Tables du Monde Restaurants" CSV to include "Les Grandes Tables du Monde Selection" in the 
\f1\b Award
\f0\b0  column for all entries.\
Here's the revised CSV content:\
\pard\pardeftab720\partightenfactor0
\cf0 Code snippet\
\
ID,Name,City,Country,Award,Source List,Cuisine\
1,Aqua,Wolfsburg,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
2,Atelier,Munich,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
3,Bareiss,Baiersbronn,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
4,Esszimmer by K\'e4fer,Munich,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
5,G\'e4stehaus Klaus Erfort,Saarbr\'fccken,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
6,Haerlin,Hamburg,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
7,Hirschen,Sulzburg,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
8,Jan,Munich,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
9,Lafleur,Frankfurt,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
10,\'d6sch Noir,Donaueschingen,Germany,Les Grandes Tables du Monde Selection,Les Grandes Tables du Monde,N/A\
