ID,Name,City,Country,Award,Source List,Cuisine\
1,White garlic,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
2,Al Andalus,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
3,Mayor,Guadalajara,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
4,Alfredo di Roma,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
5,Almoraduz,Puerto Escondido,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
6,Ancestral,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
7,Animalon,Ensenada,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
8,Arango,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
9,ARCA,Tulum,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
10,Aromas Delicians Cotidianas,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
11,Au Pied de Cochon,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
12,Omenugury,Puebla,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
13,AUTHOR,Tulum,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
14,Balc\'f3n del Z\'f3calo,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
15,Bardot / Libertad / Chino Latino,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
16,Blanco Castelar,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
17,BOT\'c1NICO,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
18,Bovine,San Miguel Allende,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
19,BRUNA,Guadalajara,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
20,Bulla,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
21,Cachava,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
22,Cafe des Artistes,Puerto Vallarta,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
23,CANA,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
24,Cara de Vaca,Monterrey,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
25,Carmela and Sal,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
26,Casa Amate,Riviera Maya,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
27,Casa Merlos,Mexico City,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
28,Casa Oaxaca,Oaxaca,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
29,Tijuana Country House,Tijuana,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
30,CASAMARTE,La Paz,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
31,Casareyna,Puebla,Mexico,,Mexico Gastronomic Guide by Culinary Mexicana 2025,\
