ID,Name,City,Country,Award,Source List,Cuisine,Score\
1,Puyero Venezuelan Flavor,Center City,United States,,The Philadelphia Inquirer,Venezuelan,\
2,Amsale Cafe,West Philadelphia,United States,,The Philadelphia Inquirer,Ethiopian,\
3,Dim Sum House,Camden County,United States,,The Philadelphia Inquirer,Chinese,\
4,Kampar,South Philadelphia,United States,,The Philadelphia Inquirer,Malaysian,\
5,La Ingrata,Camden County,United States,,The Philadelphia Inquirer,Mexican,\
6,Little Walter\'92s,River Wards,United States,,The Philadelphia Inquirer,Polish,\
7,Mawn,South Philadelphia,United States,,The Philadelphia Inquirer,Cambodian,\
8,My Loup,Center City,United States,,The Philadelphia Inquirer,French,\
9,Pietramala,Northern Liberties,United States,,The Philadelphia Inquirer,Vegetarian,\
10,Radin\'92s Delicatessen,Camden County,United States,,The Philadelphia Inquirer,Deli,\
11,Rosemary,Delaware County,United States,,The Philadelphia Inquirer,Modern American,\
12,Tabachoy,South Philadelphia,United States,,The Philadelphia Inquirer,Filipino,\
13,Corinne\'92s Place,Camden County,United States,James Beard Award Winner,The Philadelphia Inquirer,Soul Food,\
14,EMei,Center City,United States,,The Philadelphia Inquirer,Chinese,\
15,Kim\'92s Restaurant,Olney - Oak Lane,United States,,The Philadelphia Inquirer,Korean,\
16,Little Fish,South Philadelphia,United States,,The Philadelphia Inquirer,BYOB;Seafood,\
17,Oyster House,Center City,United States,,The Philadelphia Inquirer,Seafood,\
18,Reading Terminal Market,Center City,United States,,The Philadelphia Inquirer,Market,\
19,Saad\'92s Halal Restaurant,West Philadelphia,United States,,The Philadelphia Inquirer,Halal,\
20,Sagami,Camden County,United States,,The Philadelphia Inquirer,Japanese,\
21,San Lucas Pizzeria,South Philadelphia,United States,,The Philadelphia Inquirer,Mexican,\
22,Sang Kee Peking Duck House,Center City,United States,,The Philadelphia Inquirer,Chinese,\
23,Southeast Asian Market,South Philadelphia,United States,,The Philadelphia Inquirer,Market,\
24,The Original Clam Tavern,Delaware County,United States,,The Philadelphia Inquirer,Seafood,\
25,Tierra Colombiana,Feltonville,United States,,The Philadelphia Inquirer,Latin American,\
26,Villa di Roma,South Philadelphia,United States,,The Philadelphia Inquirer,Italian,\
27,Zahav,Center City,United States,,The Philadelphia Inquirer,Israeli,\
28,Bad Brother,Fairmount,United States,,The Philadelphia Inquirer,Gastropub,\
29,China Gourmet,Northeast Philadelphia,United States,,The Philadelphia Inquirer,Chinese,\
30,El Cantinflas Bar and Taco Place,River Wards,United States,,The Philadelphia Inquirer,Puerto Rican,\
31,Gaucho\'92s Prime,Montgomery County,United States,,The Philadelphia Inquirer,Brazilian,\
32,Li Beirut,Camden County,United States,,The Philadelphia Inquirer,Middle Eastern,\
33,Middle Child Clubhouse,River Wards,United States,,The Philadelphia Inquirer,Modern American,\
34,Restaurant Gamarjoba,Northeast Philadelphia,United States,,The Philadelphia Inquirer,Georgian,\
35,Scannicchio\'92s,South Philadelphia,United States,,The Philadelphia Inquirer,Italian,\
36,Sulimay\'92s,River Wards,United States,,The Philadelphia Inquirer,Diner,\
37,Vientiane Cafe,West Philadelphia,United States,,The Philadelphia Inquirer,Southeast Asian,\
38,Zeppoli,Camden County,United States,,The Philadelphia Inquirer,Italian,\
39,a.kitchen,Center City,United States,,The Philadelphia Inquirer,Modern American,\
40,Amma\'92s South Indian Kitchen,Center City,United States,,The Philadelphia Inquirer,Indian,\
41,Angelo\'92s Pizzeria,South Philadelphia,United States,,The Philadelphia Inquirer,Pizza,\
42,Bolo,Center City,United States,,The Philadelphia Inquirer,Puerto Rican,\
43,Cafe Nhan,South Philadelphia,United States,,The Philadelphia Inquirer,Vietnamese,\
44,Cantina La Martina,River Wards,United States,,The Philadelphia Inquirer,Mexican,\
45,Friday Saturday Sunday,Center City,United States,James Beard Foundation \'93Outstanding Restaurant\'94,The Philadelphia Inquirer,Modern American,\
46,Gabriella\'92s Vietnam,South Philadelphia,United States,,The Philadelphia Inquirer,Vietnamese,\
47,Heavy Metal Sausage Co.,South Philadelphia,United States,,The Philadelphia Inquirer,Modern American,\
48,Honeysuckle Provisions,West Philadelphia,United States,,The Philadelphia Inquirer,Modern American,\
49,Kilimandjaro,West Philadelphia,United States,,The Philadelphia Inquirer,West African,\
50,Pera Turkish Cuisine,Northern Liberties,United States,,The Philadelphia Inquirer,Turkish,\
51,Sophie\'92s Kitchen,South Philadelphia,United States,,The Philadelphia Inquirer,Cambodian,\
52,White Yak Restaurant,Roxborough - Manayunk,United States,,The Philadelphia Inquirer,Himalayan,\
53,Alpen Rose,Center City,United States,,The Philadelphia Inquirer,Steakhouse,\
54,Andiario,Chester County,United States,,The Philadelphia Inquirer,Italian,\
55,Blue Bell Inn,Montgomery County,United States,,The Philadelphia Inquirer,American,\
56,Jansen,Mount Airy,United States,,The Philadelphia Inquirer,Modern American,\
57,Jules at Market,Bucks County,United States,,The Philadelphia Inquirer,Seafood,\
58,June BYOB,Camden County,United States,,The Philadelphia Inquirer,French,\
59,Kalaya,River Wards,United States,James Beard-winning,The Philadelphia Inquirer,Thai,\
60,Lark,Montgomery County,United States,,The Philadelphia Inquirer,Mediterranean,\
61,Vedge,Center City,United States,,The Philadelphia Inquirer,Vegetarian,\
62,Vernick Fish,Center City,United States,,The Philadelphia Inquirer,Seafood,\
63,Vetri Cucina,Center City,United States,,The Philadelphia Inquirer,Italian,\
64,Cafe Cuong,South Philadelphia,United States,,The Philadelphia Inquirer,Vietnamese,\
65,Castellino\'92s Italian Market,River Wards,United States,,The Philadelphia Inquirer,Sandwich,\
66,D\'92jakarta Cafe,South Philadelphia,United States,,The Philadelphia Inquirer,Indonesian,\
67,Doro Bet,West Philadelphia,United States,,The Philadelphia Inquirer,Ethiopian,\
68,El Ching\'f3n,South Philadelphia,United States,,The Philadelphia Inquirer,Mexican,\
69,Fiore,River Wards,United States,,The Philadelphia Inquirer,Italian,\
70,Gilda,River Wards,United States,,The Philadelphia Inquirer,Portuguese,\
71,John\'92s Roast Pork,South Philadelphia,United States,,The Philadelphia Inquirer,Sandwich,\
72,Kingston 11,Southwest Philadelphia,United States,,The Philadelphia Inquirer,Jamaican,\
73,L\'e8 Mandingue,Southwest Philadelphia,United States,,The Philadelphia Inquirer,West African,\
74,Octopus Cart,Center City,United States,,The Philadelphia Inquirer,Mediterranean,\
75,Pho Ga Thanh Thanh,Olney - Oak Lane,United States,,The Philadelphia Inquirer,Vietnamese,\
76,Pizza West Chester,Chester County,United States,,The Philadelphia Inquirer,Pizza,}
