ID,Name,City,Country,Award,Source List,Cuisine,Score\
1,Burdell,Oakland,United States,,San Francisco Chronicle,Soul food,\
2,Four Kings,San Francisco,United States,,San Francisco Chronicle,Cantonese,\
3,Rich Table,San Francisco,United States,,San Francisco Chronicle,American,\
4,Sun Moon Studio,Oakland,United States,,San Francisco Chronicle,Fine dining,\
5,Popoca,Oakland,United States,,San Francisco Chronicle,Salvadoran,\
6,The Progress,San Francisco,United States,,San Francisco Chronicle,Californian,\
7,Copra,San Francisco,United States,,San Francisco Chronicle,South Indian,\
8,Breadbelly,San Francisco,United States,,San Francisco Chronicle,Asian American bakery,\
9,SingleThread,Healdsburg,United States,,San Francisco Chronicle,Fine dining,\
10,Zuni Caf\'e9,San Francisco,United States,,San Francisco Chronicle,Californian,\
11,Tacos Oscar,Oakland,United States,,San Francisco Chronicle,Mexican,\
12,Verjus,San Francisco,United States,,San Francisco Chronicle,French wine bar,\
13,Rose Pizzeria,Berkeley,United States,,San Francisco Chronicle,Pizza,\
14,Aziza,San Francisco,United States,,San Francisco Chronicle,Moroccan,\
15,Snail Bar,Oakland,United States,,San Francisco Chronicle,Wine bar,\
16,Soba Ichi,Oakland,United States,,San Francisco Chronicle,Japanese,\
17,Benu,San Francisco,United States,,San Francisco Chronicle,Fine dining,\
18,Mijot\'e9,San Francisco,United States,,San Francisco Chronicle,French,\
19,Wah Jee Wah,Hayward,United States,,San Francisco Chronicle,Indian barbecue,\
20,Quince,San Francisco,United States,,San Francisco Chronicle,Fine dining,\
21,Taishan Cuisine,San Francisco,United States,,San Francisco Chronicle,Cantonese,\
22,Sandy\'92s,San Francisco,United States,,San Francisco Chronicle,NOLA sandwiches,\
23,Tacos Mama Cuca,Hayward,United States,,San Francisco Chronicle,Sonoran,\
24,Sons & Daughters,San Francisco,United States,,San Francisco Chronicle,Fine dining,\
25,Bombera,Oakland,United States,,San Francisco Chronicle,Mexican,\
26,Caf\'e9 Jacqueline,San Francisco,United States,,San Francisco Chronicle,French,\
27,Friends Only,San Francisco,United States,,San Francisco Chronicle,Sushi,\
28,Californios,San Francisco,United States,,San Francisco Chronicle,Fine dining,\
29,State Bird Provisions,San Francisco,United States,,San Francisco Chronicle,Californian,\
30,Delfina,San Francisco,United States,,San Francisco Chronicle,Italian,\
31,Atelier Crenn,San Francisco,United States,,San Francisco Chronicle,Fine dining,\
32,Ok\'92s Deli,Oakland,United States,,San Francisco Chronicle,Asian American deli,\
