ID,Name,City,Country,Award,Source List,Cuisine\
1,Onjaku,Shizuoka,Japan,Tabelog Gold,Tabelog Selection,Japanese\
2,PRESENTE Sugi,Chiba,Japan,Tabelog Gold,Tabelog Selection,Italian\
3,Shimizu,Aichi,Japan,Tabelog Gold,Tabelog Selection,Japanese\
4,PELLEGRINO,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Italian\
5,Kasahara,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Yakitori/Poultry\
6,Amamoto,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Sushi\
7,Kataori,Ishikawa,Japan,Tabelog Gold,Tabelog Selection,Japanese\
8,Naz,Nagano,Japan,Tabelog Gold,Tabelog Selection,Innovative\
9,Sottaku Tsukamoto,Kyoto,Japan,Tabelog Gold,Tabelog Selection,Japanese\
10,Shimbashi Hoshino,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Japanese\
11,Ninshurou,Kyoto,Japan,Tabelog Gold,Tabelog Selection,Chinese\
12,Saito,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Sushi\
13,Chikamatsu,Fukuoka,Japan,Tabelog Gold,Tabelog Selection,Sushi\
14,Chiso Nishikenichi,Shizuoka,Japan,Tabelog Gold,Tabelog Selection,French\
15,Kinoshita,Hyogo,Japan,Tabelog Gold,Tabelog Selection,Italian\
16,YUKIMOTO,Nagano,Japan,Tabelog Gold,Tabelog Selection,Japanese\
17,ac\'e1 1\'b0,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Spanish\
18,Shinohara,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Japanese\
19,Sanshin,Osaka,Japan,Tabelog Gold,Tabelog Selection,Sushi\
20,Naruse,Shizuoka,Japan,Tabelog Gold,Tabelog Selection,Tempura\
21,Uran,Shiga,Japan,Tabelog Gold,Tabelog Selection,Unagi\
22,Tenzushi Kyomachi,Fukuoka,Japan,Tabelog Gold,Tabelog Selection,Sushi\
23,L'\'e9vo,Toyama,Japan,Tabelog Gold,Tabelog Selection,Innovative\
24,Sazenka,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Chinese\
25,Chez Inno,Tokyo,Japan,Tabelog Gold,Tabelog Selection,French\
26,Sakai,Fukuoka,Japan,Tabelog Gold,Tabelog Selection,Sushi\
27,Ao,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Innovative\
28,Matsukawa,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Japanese\
29,Dojin,Kyoto,Japan,Tabelog Gold,Tabelog Selection,Japanese\
30,Iida,Kyoto,Japan,Tabelog Gold,Tabelog Selection,Japanese\
31,Arai,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Sushi\
32,Sawada,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Sushi\
33,SEIZAN,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Japanese\
34,Ikko,Hokkaido,Japan,Tabelog Gold,Tabelog Selection,Sushi\
35,Sugita,Tokyo,Japan,Tabelog Gold,Tabelog Selection,Sushi\
36,Abon,Hyogo,Japan,Tabelog Silver,Tabelog Selection,Tonkatsu/Fried foods\
37,Ajidocoro,Hokkaido,Japan,Tabelog Silver,Tabelog Selection,Japanese\
38,Ajihiro,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Japanese\
39,AKAI,Hiroshima,Japan,Tabelog Silver,Tabelog Selection,Innovative\
40,Akira,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Sushi\
41,akordu,Nara,Japan,Tabelog Silver,Tabelog Selection,Innovative\
42,AO,Fukuoka,Japan,Tabelog Silver,Tabelog Selection,Innovative\
43,APICIUS,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
44,Asanuma,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Tempura\
45,bb9,Hyogo,Japan,Tabelog Silver,Tabelog Selection,Spanish\
46,Bia,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
47,Bon.nu,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
48,C\'e1 sento,Hyogo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
49,Chataro,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakitori/Poultry\
50,Chiso Sottakuito,Hiroshima,Japan,Tabelog Silver,Tabelog Selection,Japanese\
51,CHIUnE,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
52,DEN,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Creative\
53,Dewaya,Yamagata,Japan,Tabelog Silver,Tabelog Selection,Japanese\
54,Ebisu YORONIKU,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Yakiniku/Meat dishes\
55,ESqUISSE,Tokyo,Japan,Tabelog Silver,Tabelog Selection,French\
56,\'e9t\'e9,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Innovative\
57,Fogliolina della Porta Fortuna,Nagano,Japan,Tabelog Silver,Tabelog Selection,Italian\
58,FUJI,Shizuoka,Japan,Tabelog Silver,Tabelog Selection,Japanese\
59,Fujii,Toyama,Japan,Tabelog Silver,Tabelog Selection,Japanese\
60,Fujiya 1935,Osaka,Japan,Tabelog Silver,Tabelog Selection,Innovative\
61,FUREIKA,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Chinese\
62,Furuta,Tokyo,Japan,Tabelog Silver,Tabelog Selection,Chinese\
