{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 ID,Name,City,Country,Award,Source List,Cuisine\
1,Jay\'92s BBQ Shack,Abilene,United States,,Texas Monthly BBQ Joints 2025,BBQ\
2,Dayne\'92s Craft Barbecue,Aledo,United States,,Texas Monthly BBQ Joints 2025,BBQ\
3,InterStellar BBQ,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
4,LeRoy and Lewis Barbecue,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
5,Briscuits,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
6,Franklin Barbecue,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
7,KG BBQ,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
8,La Barbecue,Austin,United States,Michelin star,Texas Monthly BBQ Joints 2025,BBQ\
9,Mum Foods Smokehouse and Delicatessen,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
10,Stiles Switch BBQ,Austin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
11,1701 Barbecue,Beaumont,United States,,Texas Monthly BBQ Joints 2025,BBQ\
12,Miller\'92s Smokehouse,Belton,United States,,Texas Monthly BBQ Joints 2025,BBQ\
13,LJ\'92s BBQ,Brenham,United States,,Texas Monthly BBQ Joints 2025,BBQ\
14,Mimsy\'92s Craft Barbecue,Crockett,United States,,Texas Monthly BBQ Joints 2025,BBQ\
15,Slow Bone BBQ,Dallas,United States,,Texas Monthly BBQ Joints 2025,BBQ\
16,Smokey Joe\'92s BBQ,Dallas,United States,,Texas Monthly BBQ Joints 2025,BBQ\
17,North Texas Smoke BBQ,Decatur,United States,,Texas Monthly BBQ Joints 2025,BBQ\
18,Cattleack Barbeque,Farmers Branch,United States,,Texas Monthly BBQ Joints 2025,BBQ\
19,Smoak Town BBQ,Fate,United States,,Texas Monthly BBQ Joints 2025,BBQ\
20,Goldee\'92s Barbecue,Fort Worth,United States,,Texas Monthly BBQ Joints 2025,BBQ\
21,Sabar BBQ,Fort Worth,United States,,Texas Monthly BBQ Joints 2025,BBQ\
22,Panther City BBQ,Fort Worth,United States,Michelin Guide,Texas Monthly BBQ Joints 2025,BBQ\
23,Rossler\'92s Blue Cord Barbecue,Harker Heights,United States,,Texas Monthly BBQ Joints 2025,BBQ\
24,Truth Barbeque,Houston,United States,,Texas Monthly BBQ Joints 2025,BBQ\
25,Brisket & Rice,Houston,United States,,Texas Monthly BBQ Joints 2025,BBQ\
26,Pinkerton\'92s Barbecue,Houston,United States,,Texas Monthly BBQ Joints 2025,BBQ\
27,Snow\'92s BBQ,Lexington,United States,,Texas Monthly BBQ Joints 2025,BBQ\
28,Barbs B Q,Lockhart,United States,,Texas Monthly BBQ Joints 2025,BBQ\
29,Sunbird Barbecue,Longview,United States,,Texas Monthly BBQ Joints 2025,BBQ\
30,B4 Barbeque,Mabank,United States,,Texas Monthly BBQ Joints 2025,BBQ\
31,The Half Acre,Midland,United States,,Texas Monthly BBQ Joints 2025,BBQ\
32,Bar-A-BBQ,Montgomery,United States,,Texas Monthly BBQ Joints 2025,BBQ\
33,Jennings & Co. BBQ,Montgomery,United States,,Texas Monthly BBQ Joints 2025,BBQ\
34,Brendyn\'92s BBQ,Nacogdoches,United States,,Texas Monthly BBQ Joints 2025,BBQ\
35,Rejino Barbeque,Olton,United States,,Texas Monthly BBQ Joints 2025,BBQ\
36,Yearby\'92s Barbecue & Waterice,Pilot Point,United States,,Texas Monthly BBQ Joints 2025,BBQ\
37,LaVaca BBQ,Port Lavaca,United States,,Texas Monthly BBQ Joints 2025,BBQ\
38,Redbird BBQ,Port Neches,United States,,Texas Monthly BBQ Joints 2025,BBQ\
39,2M Smokehouse,San Antonio,United States,,Texas Monthly BBQ Joints 2025,BBQ\
40,Reese Bros Barbecue,San Antonio,United States,,Texas Monthly BBQ Joints 2025,BBQ\
41,GW\'92s BBQ,San Juan,United States,,Texas Monthly BBQ Joints 2025,BBQ\
42,Burnt Bean Co.,Seguin,United States,,Texas Monthly BBQ Joints 2025,BBQ\
43,Butter\'92s BBQ,Sinton,United States,,Texas Monthly BBQ Joints 2025,BBQ\
44,CorkScrew BBQ,Spring,United States,Michelin star,Texas Monthly BBQ Joints 2025,BBQ\
45,Rosemeyer Bar-B-Q,Spring,United States,,Texas Monthly BBQ Joints 2025,BBQ\
46,Slaughter\'92s BBQ,Sulphur Springs,United States,,Texas Monthly BBQ Joints 2025,BBQ\
47,Louie Mueller Barbecue,Taylor,United States,,Texas Monthly BBQ Joints 2025,BBQ\
48,Teddy\'92s Barbecue,Weslaco,United States,,Texas Monthly BBQ Joints 2025,BBQ\
49,Evie Mae\'92s Pit Barbeque,Wolfforth,United States,,Texas Monthly BBQ Joints 2025,BBQ\
50,Helberg Barbecue,Woodway,United States,,Texas Monthly BBQ Joints 2025,BBQ\
